hs6,destination_iso3,model_rank,opportunity_score,ranker_score,predicted_export_usd,model_name
100199,ARE,1,100.0,-0.03309,513795.62,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100199,USA,2,70.5,-0.34606,2890.73,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100199,SGP,3,58.5,-0.47411,3348.32,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100199,SAU,4,49.7,-0.56761,68.83,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100199,NLD,5,30.7,-0.7691,802.02,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100199,GBR,6,27.4,-0.80422,1092.91,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100199,HKG,7,22.9,-0.85193,9.6,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100199,DEU,8,22.0,-0.86137,128.82,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100199,CHN,9,5.6,-1.03524,14.91,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100199,BGD,10,0.0,-1.09478,49.44,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100590,ARE,1,100.0,0.05172,1752465.0,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100590,BGD,2,98.2,0.0312,40922.16,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100590,SAU,3,76.0,-0.22042,582838.56,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100590,HKG,4,69.4,-0.29444,328029.84,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100590,GBR,5,60.3,-0.39788,143196.45,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100590,SGP,6,56.2,-0.44418,123202.88,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
100590,USA,7,49.5,-0.5196,2734.64,XGBRanker(rank:pairwise) v4 [rank]; XGBRegressor v4 [value]
